Title,Price,Location,Link
"Recently Renovated Unit, Washer & Dryer, Vinyl Kitchen/Bathroom Floors",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-recently-renovated-unit/7724402640.html
"$1,300 perfect location columbia heights studio",Washington,Washington,https://washingtondc.craigslist.org/doc/apa/d/washington-1300-perfect-location/7733924683.html
"Separate Dining Area, Picnic Area with BBQ Grill","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-separate-dining-area-picnic/7733834438.html
Fully Furnished Condo! ALL UTILITIES INCLUDED!,"Takoma Park, MD","Takoma Park, MD",https://washingtondc.craigslist.org/doc/apa/d/takoma-park-fully-furnished-condo-all/7733769984.html
Private balcony and a full bathroom with dual sinks!,"Washington, DC","Washington, DC",https://washingtondc.craigslist.org/doc/apa/d/washington-private-balcony-and-full/7733741583.html
"Balcony, Garden Style Building, Pet Friendly community, Near Bus Route",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-balcony-garden-style/7724401619.html
"1 Bed, Renovated Homes Available, On-Site Management Team","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bed-renovated-homes/7733775044.html
"1bd 1ba, Separate Dining Area, Hardwood Floor Option","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1bd-1ba-separate-dining/7733033376.html
"1/bd 1/ba, Hardwood Floor Option, High Speed Internet Access","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-ba-hardwood-floor-option/7733702437.html
"$1,200 BASEMENT APARTMENT",Silver Spring,Silver Spring,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-1200-basement-apartment/7726469064.html
"Extra large bedroom and private bath available in a 3 bedroom, 2 bath,",maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/washington-extra-large-bedroom-and/7733686011.html
Silver Spring Furnished 1 Bedroom Available this summer,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-silver-spring-furnished/7733677013.html
"Great 1 Bed, 1 Bath floor plans. Join us!",Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-great-bed-bath-floor-plans/7733654235.html
Now Leasing - New Construction in Rockville! Tour today!,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-now-leasing-new-construction/7733654105.html
We meet all your must haves! Great amenities! Fantastic 1 bed 1 bath,Rockville,Rockville,https://washingtondc.craigslist.org/mld/apa/d/rockville-we-meet-all-your-must-haves/7733654034.html
"1/bd 1/ba, On-Site Management Team, Volleyball Court","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-ba-on-site-management/7733627481.html
"This 1 bedroom, 1 bathroom",Bethesda,Bethesda,https://washingtondc.craigslist.org/mld/apa/d/bethesda-this-bedroom-bathroom/7733545601.html
"We're right on the bus line! Great 621 sq ft 1 bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-were-right-on-the-bus-line/7732061026.html
Newly Rennovated Basement in Beautiful Location,"Takoma Park, MD","Takoma Park, MD",https://washingtondc.craigslist.org/doc/apa/d/takoma-park-newly-rennovated-basement/7733359517.html
Newly Rennovated Basement in Beautiful Location,"Takoma Park, MD","Takoma Park, MD",https://washingtondc.craigslist.org/mld/apa/d/takoma-park-newly-rennovated-basement/7733357928.html
Relaxing garden-style 621 sq ft 1 bed 1 bath - Silver Creek Senior Living,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-relaxing-garden-style-621-sq/7733284631.html
Beautiful One Bedroom Unit In Parkview Available Immediately!,"Washington, DC","Washington, DC",https://washingtondc.craigslist.org/doc/apa/d/washington-beautiful-one-bedroom-unit/7723451177.html
One bedroom home,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-one-bedroom-home/7725041373.html
One-bedroom condo just blocks from Grosvenor METRO,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-one-bedroom-condo-just-blocks/7725041038.html
"Fantastic one bedroom, one bathroom condo",maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-fantastic-one-bedroom-one/7725040664.html
Hampden Row is located steps from vibrant Bethesda,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-hampden-row-is-located-steps/7725039720.html
Gorgeous1 bedroom condo at Sumner Court,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-gorgeous1-bedroom-condo-at/7725039921.html
with massive private flagstone patio,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-with-massive-private/7725697196.html
You will Love this spacious Luxe Unit,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-you-will-love-this-spacious/7725600555.html
Sun-drenched and spacious 1 bedroom,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-sun-drenched-and-spacious/7725585208.html
"Situated in Hyattsville!, 1B/1B, Recycling","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-situated-in-hyattsville-1b/7726783776.html
relocating experts,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-relocating-experts/7723554769.html
Basement apartment for rent,"Adelphi, MD","Adelphi, MD",https://washingtondc.craigslist.org/mld/apa/d/hyattsville-basement-apartment-for-rent/7727596495.html
Private furnished rooms $495+/month. Walk to Metro station,Metro Washington ( 3 homes available ),Metro Washington ( 3 homes available ),https://washingtondc.craigslist.org/mld/apa/d/college-park-private-furnished-rooms/7732338856.html
Private furnished room WALK TO METRO STATIONS,Metro Washington ( 3 homes available ),Metro Washington ( 3 homes available ),https://washingtondc.craigslist.org/mld/apa/d/college-park-private-furnished-room/7732338924.html
"1 Bed, Wall-to-Wall Carpet Option, in Hyattsville MD","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bed-wall-to-wall-carpet/7732262634.html
"Gas Range, Ample Closet Space, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-gas-range-ample-closet/7732198295.html
"1/bd, Ample Closet Space, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-ample-closet-space/7730657689.html
"Gas Range, Ample Closet Space, Hardwood Floor Option","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-gas-range-ample-closet/7731363605.html
"1BD 1BA, Gas Range, In Hyattsville","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1bd-1ba-gas-range-in/7732057239.html
"High Speed Internet Access, Hardwood Floor Option, 1BD 1BA",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-high-speed-internet-access/7732047429.html
"Balcony, Garden Style Apartment, Pet Friendly Community, Play Area",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-balcony-garden-style/7722780500.html
Newly Available,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/hyattsville-newly-available/7731804517.html
"Situated in Hyattsville!, 1/bd 1/ba, Recycling",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-situated-in-hyattsville-bd/7727357657.html
"1 BD, Gas Range, High Speed Internet Access","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-gas-range-high-speed/7731752238.html
"Located in Silver Spring, 1 Bed",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-located-in-silver-spring/7723138423.html
"1B/1B, Ample Closet Space, Picnic Area with BBQ Grill","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1b-1b-ample-closet-space/7731010525.html
"Courtyard, In Hyattsville, 1bd 1ba",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-courtyard-in-hyattsville/7731706319.html
"Volleyball Court, Ample Closet Space, Recycling",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-volleyball-court-ample/7726727532.html
FURNISHED BEDROOM W ALL UTILITIES INCLUDED,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/silver-spring-furnished-bedroom-all/7731689975.html
"Separate Dining Area, Gas & Electric Included!","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-separate-dining-area-gas/7731517922.html
"1BD 1BA, Hardwood Floor Option, Hyattsville MD","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1bd-1ba-hardwood-floor/7730773054.html
"Volleyball Court, Recycling, Ample Closet Space","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-volleyball-court-recycling/7729429067.html
ONE BEDROOM FURNISHED CONDO WITH ALL UTILITIES INCLUDED,district of columbia,district of columbia,https://washingtondc.craigslist.org/doc/apa/d/washington-one-bedroom-furnished-condo/7731388468.html
"1 bedroom, On-Site Laundry Facilities, Volleyball Court","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bedroom-on-site-laundry/7731419973.html
"Ample Closet Space, Gas & Electric Included!, 1/bd 1/ba","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-ample-closet-space-gas/7730616489.html
"1/bd 1/ba, Picnic Area with BBQ Grill, Park-Like Setting",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-ba-picnic-area-with-bbq/7731353693.html
Feel like royalty in our luxurious 1 BR / 1 BA! Call today!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-feel-like-royalty-in-our/7729792140.html
"Recycling, Park-Like Setting, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-recycling-park-like-setting/7729163953.html
"1B/1B, On-Site Laundry Facilities, In Hyattsville","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1b-1b-on-site-laundry/7728332534.html
"Park-Like Setting, Hardwood Floor Option, Gas Range","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-park-like-setting-hardwood/7731147466.html
Beautiful 1 bed / 1 bath in a great neighborhood! Ready to view now!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-beautiful-bed-bath-in-great/7731126302.html
"1 BD, Park-Like Setting, Renovated Homes Available","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-park-like-setting/7731069661.html
Feel like royalty in our luxurious 1 BR / 1 BA! Call today!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-feel-like-royalty-in-our/7729509534.html
Beautiful 1 bed / 1 bath in a great neighborhood! Ready to view now!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-beautiful-bed-bath-in-great/7731000536.html
"In Hyattsville, Ample Closet Space, 1/bd",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-in-hyattsville-ample-closet/7730997995.html
Fabulous independent living community for seniors! 1 Bed / 1 Bath!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-fabulous-independent-living/7730812243.html
"1B/1B, Recycling, Located in Hyattsville","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-1b-1b-recycling-located-in/7729474464.html
"1/bd 1/ba, On-Site Laundry Facilities, Gas Range","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-ba-on-site-laundry/7730704958.html
"Wall-to-Wall Carpet Option, On-Site Management Team",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-wall-to-wall-carpet-option/7730622121.html
"Playground, Wall-to-Wall Carpet Option, Gas Range",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-playground-wall-to-wall/7727024549.html
Don't miss this fantastic first level 1 bed/1 bath condo unit.,"Greenbelt, MD","Greenbelt, MD",https://washingtondc.craigslist.org/mld/apa/d/greenbelt-dont-miss-this-fantastic/7730599498.html
"First floor 1 bedroom, 1 bath for rent",Olney,Olney,https://washingtondc.craigslist.org/mld/apa/d/olney-first-floor-bedroom-bath-for-rent/7730404641.html
Beautiful Apt - Available For Move-in,Columbia Heights,Columbia Heights,https://washingtondc.craigslist.org/doc/apa/d/washington-beautiful-apt-available-for/7730267368.html
Free temporary rooms available for 6 months,"Metro Washington, 3 homes available","Metro Washington, 3 homes available",https://washingtondc.craigslist.org/mld/apa/d/college-park-free-temporary-rooms/7730099019.html
"Let us show you the home of your dreams! Tour our 1 Bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-let-us-show-you-the-home-of/7728651016.html
Free temporary rooms available for Russian/UKRAINIAN war refugees.,Washington,Washington,https://washingtondc.craigslist.org/doc/apa/d/washington-free-temporary-rooms/7729923001.html
One bedroom basement apartment (all utilities included). Perfect for 1,WASHIGNTON,WASHIGNTON,https://washingtondc.craigslist.org/doc/apa/d/washington-one-bedroom-basement/7729921447.html
A Higher Quality of Living.,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-higher-quality-of-living/7729796382.html
ROOM FOR RENT,D.C,D.C,https://washingtondc.craigslist.org/doc/apa/d/washington-room-for-rent/7729551465.html
"High Speed Internet Access, Ample Closet Space, 1/BD","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-high-speed-internet-access/7729387329.html
"Renovated Homes Available, Park-Like Setting, 1/bd","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-renovated-homes-available/7729352428.html
"High Speed Internet Access, Recycling, 1 Bed","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-high-speed-internet-access/7729340523.html
"1/BD, Recycling, Gas & Electric Included!",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-recycling-gas-electric/7729327496.html
"Separate Dining Area, Gas Range, Playground",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-separate-dining-area-gas/7729322126.html
"Renovated Homes Available, Gas Range",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-renovated-homes-available/7727024471.html
"1 Bath, 1 Bedroom  Basement Apartment",NE Trinidad,NE Trinidad,https://washingtondc.craigslist.org/doc/apa/d/washington-bath-bedroom-basement/7721795556.html
Stylish Living at Arcade Sunshine Apartments - Schedule a Tour!,Petworth/Northwest/Adams Morgan,Petworth/Northwest/Adams Morgan,https://washingtondc.craigslist.org/mld/apa/d/washington-stylish-living-at-arcade/7729168821.html
"On-Site Laundry Facilities, Park-Like Setting, 1/bd 1/ba","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-on-site-laundry-facilities/7727036802.html
"Let us show you the home of your dreams! Tour our 1 Bed, 1 bath!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-let-us-show-you-the-home-of/7728987878.html
"Gas Range, Volleyball Court, Park-Like Setting","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-gas-range-volleyball-court/7727379580.html
Live the dream life in our gorgeous community! Stop by for a tour!,Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-live-the-dream-life-in-our/7722782099.html
"1/bd, Wall-to-Wall Carpet Option, Separate Dining Area","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-bd-wall-to-wall-carpet/7728660284.html
"Renovated Homes Available, Hyattsville MD, 1 BD",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-renovated-homes-available/7728640629.html
1 Bedroom + Den condo,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/chevy-chase-bedroom-den-condo/7725040935.html
Luxury Boutique Condo Building,maryland,maryland,https://washingtondc.craigslist.org/mld/apa/d/bethesda-luxury-boutique-condo-building/7725038665.html
Room for Rent - $1100.00 (utilities included),Columbia Heights,Columbia Heights,https://washingtondc.craigslist.org/doc/apa/d/washington-room-for-rent-utilities/7725568853.html
"1 Bed, Gas & Electric Included!, Situated in Hyattsville!",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bed-gas-electric-included/7728488428.html
"Hyattsville MD, High Speed Internet Access, 1/BD 1/BA",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-hyattsville-md-high-speed/7727198207.html
🌟 Discover Arcade Sunshine DC - Unbeatable Prices Inside! 🌟,Petworth/Northwest/Adams Morgan,Petworth/Northwest/Adams Morgan,https://washingtondc.craigslist.org/doc/apa/d/washington-discover-arcade-sunshine-dc/7728481078.html
"On-Site Management Team, Gas Range, Playground","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-on-site-management-team-gas/7727116136.html
Always Fresh. Forever Original.,Greenbelt,Greenbelt,https://washingtondc.craigslist.org/mld/apa/d/greenbelt-always-fresh-forever-original/7728404539.html
"Hyattsville MD, Recycling, 1 Bed",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-hyattsville-md-recycling-bed/7728361374.html
"Wonderful amenities, great style, brand new construction!",Kensington,Kensington,https://washingtondc.craigslist.org/doc/apa/d/kensington-wonderful-amenities-great/7728349245.html
"1/BD, Hyattsville MD, Park-Like Setting",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-hyattsville-md-park-like/7727051563.html
"High Speed Internet Access, 1/BD, in Hyattsville MD","5735 29th Ave, Hyattsville, MD","5735 29th Ave, Hyattsville, MD",https://annapolis.craigslist.org/apa/d/hyattsville-high-speed-internet-access/7728318785.html
"Gas Range, Playground, Gas & Electric Included!",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-gas-range-playground-gas/7728285440.html
Light filled English basement studio apartment in Chevy Chase DC,Tenleytown/American University,Tenleytown/American University,https://washingtondc.craigslist.org/doc/apa/d/washington-light-filled-english/7719641385.html
"1/bd, Park-Like Setting, Wall-to-Wall Carpet Option",Location not specified,Location not specified,https://annapolis.craigslist.org/apa/d/hyattsville-bd-park-like-setting-wall/7726740427.html
"1bed/1ba in walkout finished basement, 10 mins walk to Rockville Metro","Rockville, MD","Rockville, MD",https://washingtondc.craigslist.org/mld/apa/d/rockville-1bed-1ba-in-walkout-finished/7728218278.html
"Situated in Silver Spring!, 1 Bed",Location not specified,Location not specified,https://baltimore.craigslist.org/apa/d/silver-spring-situated-in-silver-spring/7717227678.html
